shipment_id,carrier,region,shipment_mode,product_category,ship_date,delivery_date,delivery_days,estimated_days,freight_cost_usd,shipment_weight_kg,shipment_value_usd,is_late,is_damaged,delivery_status
SHP_00001,Gati,Delhi,Air,Industrial,2022-09-08,2022-09-15,7,6,212.56,338.51,1562.97,True,False,Late
SHP_00002,Ecom Express,Mumbai,Air,Electronics,2022-08-12,2022-08-21,9,6,88.21,280.84,555.38,True,False,Late
SHP_00003,Ecom Express,Chennai,Ground,Industrial,2022-01-07,2022-01-14,7,5,60.73,78.16,470.25,True,False,Late
SHP_00004,FedEx,Kolkata,Air,Medical Devices,2022-12-19,2022-12-25,6,7,101.62,268.35,796.57,False,False,On Time
SHP_00005,Amazon Logistics,Hyderabad,Sea,Medical Devices,2023-08-15,2023-08-20,5,6,29.81,114.34,111.38,False,False,On Time
SHP_00006,BlueDart,Delhi,Ground,Industrial,2023-04-10,2023-04-18,8,8,63.87,105.15,230.05,False,False,On Time
SHP_00007,Gati,Delhi,Sea,Apparel,2023-07-01,2023-07-08,7,6,163.21,135.34,1232.62,True,False,Late
SHP_00008,BlueDart,Pune,Air,Food,2022-02-02,2022-02-12,10,8,53.11,105.89,406.69,True,False,Late
SHP_00009,Delhivery,Chennai,Sea,Auto Parts,2023-02-10,2023-02-20,10,10,52.81,123.69,283.5,False,False,On Time
SHP_00010,SpeedPost,Kolkata,Sea,Consumer Goods,2023-01-06,2023-01-13,7,6,171.71,45.91,391.96,True,False,Late
SHP_00011,Gati,Bangalore,Sea,Consumer Goods,2023-09-03,2023-09-12,9,4,148.69,498.06,769.42,True,False,Late
SHP_00012,DHL,Delhi,Sea,Industrial,2023-10-19,2023-10-26,7,8,55.82,79.5,112.73,False,False,On Time
SHP_00013,SafeExpress,Hyderabad,Sea,Apparel,2023-06-04,2023-06-11,7,4,231.5,254.08,739.29,True,False,Late
SHP_00014,UPS,Surat,Sea,Pharma,2023-09-06,2023-09-16,10,8,27.05,464.58,196.72,True,False,Late
SHP_00015,DTDC,Chennai,Air,Food,2023-08-04,2023-08-08,4,4,211.74,408.1,1665.95,False,False,On Time
SHP_00016,UPS,Bangalore,Sea,Auto Parts,2023-07-17,2023-07-23,6,5,80.41,303.49,626.09,True,False,Late
SHP_00017,SafeExpress,Chennai,Sea,Industrial,2023-02-13,2023-02-27,14,8,241.93,226.02,843.71,True,False,Late
SHP_00018,DHL,Jaipur,Sea,Food,2023-08-26,2023-08-31,5,6,32.45,315.74,109.47,False,False,On Time
SHP_00019,Delhivery,Delhi,Sea,Food,2022-10-13,2022-10-23,10,10,81.62,361.81,595.36,False,False,On Time
SHP_00020,BlueDart,Ahmedabad,Ground,Food,2022-04-07,2022-04-13,6,4,62.2,205.85,446.78,True,False,Late
SHP_00021,Gati,Delhi,Air,Consumer Goods,2022-12-14,2022-12-20,6,4,114.49,268.37,325.28,True,False,Late
SHP_00022,XpressBees,Chennai,Air,Auto Parts,2023-07-18,2023-07-21,3,4,93.48,270.52,195.24,False,False,On Time
SHP_00023,BlueDart,Bangalore,Ground,Auto Parts,2023-05-08,2023-05-16,8,6,119.76,82.74,241.07,True,False,Late
SHP_00024,XpressBees,Hyderabad,Ground,Auto Parts,2022-06-08,2022-06-15,7,6,47.86,29.71,306.99,True,False,Late
SHP_00025,Delhivery,Mumbai,Air,Auto Parts,2023-05-30,2023-06-03,4,5,125.88,40.52,392.11,False,False,On Time
SHP_00026,Gati,Chennai,Ground,Electronics,2023-08-07,2023-08-21,14,6,187.01,309.88,844.42,True,False,Late
SHP_00027,Amazon Logistics,Pune,Ground,Food,2023-11-17,2023-11-25,8,8,52.89,65.87,310.62,False,False,On Time
SHP_00028,FedEx,Mumbai,Ground,Electronics,2022-03-17,2022-03-26,9,6,52.85,466.66,385.02,True,False,Late
SHP_00029,Delhivery,Hyderabad,Air,Auto Parts,2023-07-11,2023-07-21,10,7,128.3,403.65,663.78,True,False,Late
SHP_00030,Amazon Logistics,Hyderabad,Sea,Electronics,2022-05-18,2022-05-24,6,7,118.42,371.34,347.29,False,False,On Time
SHP_00031,BlueDart,Pune,Air,Industrial,2023-06-02,2023-06-13,11,10,120.06,423.13,306.61,True,False,Late
SHP_00032,DTDC,Mumbai,Air,Medical Devices,2022-05-14,2022-05-22,8,7,213.42,276.06,974.5,True,True,Late
SHP_00033,FedEx,Bangalore,Sea,Pharma,2023-01-14,2023-01-21,7,5,38.38,154.48,283.78,True,False,Late
SHP_00034,DHL,Pune,Air,Food,2023-11-14,2023-11-19,5,4,106.91,442.13,474.49,True,False,Late
SHP_00035,UPS,Chennai,Air,Apparel,2023-02-27,2023-03-02,3,3,102.34,166.43,776.24,False,False,On Time
SHP_00036,SafeExpress,Chennai,Ground,Apparel,2022-04-21,2022-04-29,8,9,234.55,111.61,1618.28,False,False,On Time
SHP_00037,DTDC,Chennai,Air,Pharma,2023-11-07,2023-11-18,11,6,139.09,432.24,1085.09,True,False,Late
SHP_00038,Gati,Surat,Ground,Medical Devices,2022-01-29,2022-02-05,7,4,112.14,481.29,402.9,True,False,Late
SHP_00039,Ecom Express,Pune,Sea,Medical Devices,2023-03-23,2023-03-29,6,4,119.45,95.44,270.71,True,False,Late
SHP_00040,Amazon Logistics,Surat,Sea,Food,2023-01-08,2023-01-16,8,9,124.63,460.43,715.24,False,False,On Time
SHP_00041,FedEx,Hyderabad,Sea,Industrial,2023-11-14,2023-11-24,10,9,67.25,148.18,185.86,True,False,Late
SHP_00042,Ecom Express,Bangalore,Sea,Industrial,2023-02-20,2023-02-24,4,3,55.13,215.23,302.11,True,False,Late
SHP_00043,XpressBees,Ahmedabad,Ground,Food,2023-06-08,2023-06-18,10,10,94.18,142.25,563.49,False,False,On Time
SHP_00044,FedEx,Chennai,Sea,Industrial,2022-08-19,2022-08-25,6,6,27.56,122.8,133.69,False,False,On Time
SHP_00045,FedEx,Ahmedabad,Ground,Food,2023-01-29,2023-02-10,12,10,50.62,328.2,102.92,True,False,Late
SHP_00046,FedEx,Kolkata,Air,Apparel,2023-06-15,2023-06-24,9,10,83.53,458.78,227.88,False,False,On Time
SHP_00047,XpressBees,Surat,Sea,Medical Devices,2023-03-30,2023-04-11,12,9,71.82,80.0,514.88,True,False,Late
SHP_00048,BlueDart,Hyderabad,Sea,Auto Parts,2023-10-04,2023-10-11,7,6,71.19,356.92,242.54,True,False,Late
SHP_00049,Amazon Logistics,Delhi,Air,Apparel,2022-08-25,2022-09-03,9,9,99.17,32.58,440.87,False,False,On Time
SHP_00050,Ecom Express,Mumbai,Air,Consumer Goods,2023-02-03,2023-02-09,6,3,64.94,3.45,266.94,True,False,Late
SHP_00051,Ecom Express,Surat,Sea,Food,2023-05-15,2023-05-22,7,6,70.76,15.0,284.23,True,False,Late
SHP_00052,Ecom Express,Bangalore,Ground,Apparel,2023-09-30,2023-10-05,5,3,87.15,331.67,218.2,True,False,Late
SHP_00053,XpressBees,Bangalore,Air,Industrial,2023-01-24,2023-02-01,8,8,72.74,169.08,529.39,False,False,On Time
SHP_00054,Ecom Express,Hyderabad,Air,Auto Parts,2022-01-20,2022-01-24,4,3,48.54,34.77,375.88,True,False,Late
SHP_00055,DHL,Chennai,Air,Pharma,2023-09-29,2023-10-04,5,5,38.25,334.89,205.93,False,False,On Time
SHP_00056,SafeExpress,Hyderabad,Ground,Apparel,2023-09-13,2023-09-18,5,4,253.65,54.5,546.38,True,False,Late
SHP_00057,Gati,Kolkata,Ground,Food,2022-03-19,2022-03-25,6,6,205.49,151.14,1254.63,False,False,On Time
SHP_00058,SpeedPost,Mumbai,Ground,Consumer Goods,2023-11-09,2023-11-17,8,8,171.07,170.94,1214.16,False,False,On Time
SHP_00059,FedEx,Kolkata,Ground,Auto Parts,2022-06-06,2022-06-15,9,9,102.05,482.75,369.47,False,False,On Time
SHP_00060,Amazon Logistics,Ahmedabad,Ground,Consumer Goods,2023-08-30,2023-09-07,8,7,114.43,415.45,288.36,True,False,Late
SHP_00061,BlueDart,Ahmedabad,Sea,Consumer Goods,2022-12-11,2022-12-16,5,3,114.35,91.33,374.24,True,False,Late
SHP_00062,Delhivery,Hyderabad,Sea,Industrial,2023-07-24,2023-07-30,6,3,124.55,43.26,787.21,True,False,Late
SHP_00063,BlueDart,Ahmedabad,Sea,Auto Parts,2023-04-04,2023-04-06,2,3,55.89,202.5,193.37,False,False,On Time
SHP_00064,Delhivery,Ahmedabad,Sea,Medical Devices,2023-03-12,2023-03-21,9,8,98.8,135.82,346.63,True,False,Late
SHP_00065,BlueDart,Pune,Air,Apparel,2022-07-16,2022-07-24,8,6,54.03,295.0,354.5,True,False,Late
SHP_00066,FedEx,Chennai,Ground,Food,2023-01-05,2023-01-11,6,5,26.49,267.3,96.58,True,False,Late
SHP_00067,Amazon Logistics,Hyderabad,Sea,Apparel,2023-10-16,2023-10-25,9,10,116.64,287.25,561.78,False,False,On Time
SHP_00068,UPS,Mumbai,Ground,Auto Parts,2022-04-27,2022-05-03,6,4,76.63,288.72,468.88,True,False,Late
SHP_00069,SpeedPost,Hyderabad,Air,Food,2022-05-02,2022-05-19,17,9,187.3,309.4,1246.32,True,False,Late
SHP_00070,XpressBees,Hyderabad,Sea,Consumer Goods,2022-11-09,2022-11-15,6,3,125.81,50.07,827.38,True,False,Late
SHP_00071,DTDC,Delhi,Air,Food,2022-06-27,2022-07-02,5,4,80.48,225.53,447.7,True,False,Late
SHP_00072,BlueDart,Hyderabad,Sea,Industrial,2023-04-10,2023-04-14,4,4,122.01,394.02,701.6,False,False,On Time
SHP_00073,BlueDart,Kolkata,Air,Food,2023-10-26,2023-11-01,6,5,111.8,36.17,334.9,True,False,Late
SHP_00074,SafeExpress,Jaipur,Ground,Auto Parts,2022-05-08,2022-05-21,13,10,205.95,471.37,1030.33,True,False,Late
SHP_00075,FedEx,Jaipur,Air,Consumer Goods,2022-11-27,2022-12-03,6,7,34.59,480.97,242.67,False,False,On Time
SHP_00076,DHL,Hyderabad,Sea,Pharma,2022-06-29,2022-07-12,13,10,93.41,458.08,288.54,True,False,Late
SHP_00077,Gati,Ahmedabad,Air,Auto Parts,2022-12-23,2023-01-05,13,9,137.79,52.75,408.54,True,False,Late
SHP_00078,XpressBees,Hyderabad,Sea,Consumer Goods,2023-07-18,2023-07-23,5,3,34.25,126.57,92.32,True,False,Late
SHP_00079,Amazon Logistics,Mumbai,Sea,Auto Parts,2023-02-28,2023-03-03,3,3,79.44,311.51,396.48,False,False,On Time
SHP_00080,DHL,Chennai,Ground,Apparel,2022-10-22,2022-11-03,12,10,37.75,486.59,213.41,True,False,Late
SHP_00081,UPS,Hyderabad,Sea,Pharma,2023-07-20,2023-07-28,8,9,48.59,420.78,130.26,False,False,On Time
SHP_00082,Gati,Bangalore,Ground,Industrial,2023-06-06,2023-06-18,12,7,230.25,490.13,797.21,True,False,Late
SHP_00083,Ecom Express,Chennai,Sea,Apparel,2022-03-13,2022-03-22,9,7,60.69,393.96,218.67,True,True,Late
SHP_00084,SafeExpress,Hyderabad,Sea,Auto Parts,2022-06-02,2022-06-19,17,10,167.18,166.55,1099.58,True,False,Late
SHP_00085,Delhivery,Chennai,Sea,Food,2023-08-09,2023-08-18,9,9,114.88,205.68,449.07,False,False,On Time
SHP_00086,Ecom Express,Kolkata,Sea,Apparel,2023-05-23,2023-05-26,3,3,77.74,295.3,561.14,False,False,On Time
SHP_00087,XpressBees,Delhi,Sea,Auto Parts,2022-01-16,2022-01-23,7,5,116.45,484.99,285.18,True,False,Late
SHP_00088,DTDC,Pune,Sea,Consumer Goods,2023-10-28,2023-11-05,8,4,233.42,429.74,999.05,True,False,Late
SHP_00089,SafeExpress,Ahmedabad,Sea,Pharma,2023-09-25,2023-10-01,6,4,193.61,460.5,1545.89,True,False,Late
SHP_00090,Ecom Express,Delhi,Sea,Electronics,2023-03-31,2023-04-06,6,5,119.86,23.47,812.27,True,False,Late
SHP_00091,Delhivery,Kolkata,Air,Food,2023-06-28,2023-07-10,12,9,96.59,90.44,294.64,True,False,Late
SHP_00092,Ecom Express,Jaipur,Sea,Food,2023-05-25,2023-05-30,5,5,73.42,127.36,259.32,False,True,On Time
SHP_00093,XpressBees,Hyderabad,Sea,Apparel,2022-03-17,2022-03-28,11,10,128.7,149.93,1000.28,True,False,Late
